palabra,tipo,significado
TÚMULO,m.,"Sepulcro levantado de la tierra. / Armazón de madera que se erige para la celebración de las honras de un difunto. / Montecillo artificial con que en algunos pueblos antiguos era costumbre cubrir una sepultura.
S. tarima, catafalco, monumento, montículo, montón
C. Colocaron varias rocas y piedras sobre la tumba del hombre a fin de crear un túmulo que identificara su ubicación en la planicie."
TUNANTE,adj.,"Pícaro, bribón, taimado.
S. truhán, pillo, villano, zascandil, tuno, rufián, bandido, tunarra
A. crédulo, cándido, ingenuo, incauto, inocente, casto
C. Después de su última diablura el tunante logró escapar, pero pronto será capturado."
TUNDRA,f.,"Terreno abierto y llano, de clima subglacial y subsuelo helado, falto de vegetación arbórea; suelo cubierto de musgos y líquenes, y pantanoso en muchos sitios. Se extiende por Siberia y Alaska.
S. llanura, planicie, llano, sabana, estepa, extensión
C. Caminaban por la helada y vasta tundra en busca de algún siberiano que les diera alojamiento en su choza."
TUNTÚN,Loc.,"Sin cálculo ni reflexión o sin conocimiento del asunto.
S. irreflexivamente, indeliberadamente, instintivamente, inconscientemente, automáticamente, maquinalmente, impulsivamente, frívolamente, alegremente, ligeramente, inconsideradamente, desaconsejadamente, alocadamente, precipitadamente, atolondradamente
A. reflexivamente, ponderadamente, seriamente, deliberadamente, premeditadamente
C. Pasó por un tremendo ridículo al hablar a la tuntún durante la reunión pues ni siquiera sabía de la verdadera situación de la compañía."
TUPÉ,m.,"Copete, cabello que cae sobre la frente. / Atrevimiento, desfachatez.
S. arrogancia, desfachatez, descaro, insolencias, frescura
A. modestia, comedimiento, recato, decoro, sencillez
C. El tupé le caía largo y rizado sobre la frente."
TUPIR,v.,"Apretar mucho una cosa cerrando sus poros o intersticios. / Hartarse de una comida o bebida.
S. atorar, taponar, cerrar, atrancar, obstruir, tapar, traslapar
A. abrir, desatrancar, desbrozar, desatorar, despejar, desatascar
C. Para tupir los agujeros de la coladera usaron todo tipo de pasta pegajosa."
TURBULENTO,adj.,"Dicho especialmente de un líquido: Turbio y agitado. / Acción o situación agitada y desordenada. / Persona agitadora, que promueve disturbios, discusiones, etc. / Se dice del movimiento de un fluido en el que la presión y la velocidad en cada punto fluctúan muy irregularmente, con la consiguiente formación de remolinos.
S. opaco, borroso, empañado, caliginoso, alborotado, tumultuoso, convulsivo, perturbado, trastornado, alborotado, intranquilizado, conmovido
A. transparente, claro, límpido, diáfano, translúcido, sereno, apacible, calmado, serenado, pacificado
C. Es un líquido algo turbulento, imagino que es por la tierra que aún no se asienta."
TÚRDIGA,f.,"Tira de pellejo.
S. banda, faja, corteza
C. Hicieron hervir una túrdiga arrancada subrepticiamente del toro sacrificado, aunque era dura, servía bien como alimento."
TURGENCIA,f.,"Cualidad de abultado, elevado. / Aplícase al humor que hincha alguna parte del cuerpo.
S. bulto, hinchazón, tumefacción, carnosidad, curva, sinuosidad
C. Se formó una turgencia sebosa en el costado derecho del cuerpo."
TURMA,f.,"Testículo.
S. criadilla, teste, escritilla, sexo, glándula, genital
C. Como el chancho se movió demasiado durante la castración solo le pudieron arrancar una turma."
TURQUESA,f.,"Mineral de color azul verdoso, y casi tan duro como el vidrio, que se halla en granos menudos en distintos puntos de Asia y se emplea en joyería. / Azul verdoso.
C. El rostro cubierta por la venda oscura, el ojo libre resplandeciente, la ropa turquesa y blanca, como si todo él fuese una joya.
(1) Molde, a modo de tenaza, que servía para hacer bodoques de ballesta o balas de plomo. / Molde para hacer diversas cosas."
TURULATO,adj.,"Alelado, estupefacto.
S. atontado, aturdido, boquiabierto, majadero, sandio, mareado, ganso, atónito, absorto, suspenso, deslumbrado, enajenado, extático, patitieso, patidifuso, zorzal, paralizado, papamoscas, pánfilo, bobalicón, atolondrado
A. vivo, inteligente, despierto, desenvuelto, astuto, avispado, avisado, desconfiado, receloso, despabilado, impasible, inmutable, inconmovible, insensible, impertérrito, impávido
C. Se quedó turulato al verla la mano con otro tipo. –Jamás creí que me hiciera algo así – me dijo años después."
TUTEAR,v.,"Hablar a alguien empleando el pronombre de segunda persona. Con su uso se borran todos los tratamientos de cortesía y de respeto. 
S. intimar, congeniar, tratarse, faltar, despreciar, ofender, agraviar
A. respetar, saludar, ponderar, mirar, observar, considerar
C. No puedes andar por ahí diciendo a la gente mayor: tu carro, tu libro, etc. Debes evitar tutear y siempre tratar con respeto expresando: su carro, su libro, etc."
UBICUO,adj.,"Dicho principalmente de Dios: Que está presente a un mismo tiempo en todas partes. / Persona que todo lo quiere presenciar y vive en continuo movimiento.
S. Omnipresente, omnímodo, omnisciente, universal, general.
A. Ausente, omiso, omitido, falto.
C. A ti casi nunca te veo pero al ubicuo de tu primo me lo encuentro a en todas partes."
UBRE,f.,"En los mamíferos, cada una de las tetas de la hembra. / Conjunto de ellas.
S. Pecho, mama, seno, busto.
C. Antes de ordeñar debes limpiar bien la ubre de la vaca."
UBÉRRIMO,adj.,"Muy abundante y fértil.
S. Pingüe, fecundo, fértil, feraz, prolífico, productivo.
A. Árido, estéril, infecundo, yermo, desértico, baldío, infructífero.
C. En el ubérrimo terreno de la selva tenemos asegurada una profusa cosecha cada temporada."
UFANO,adj.,"Arrogante, presuntuoso, engreído. / Satisfecho, alegre, contento. / Que procede con resolución y desembarazo en la ejecución de alguna cosa. / Referido a las plantas, lozano.
S. Engreído, jactancioso, vano, presumido, arrogante, vanidoso, petulante.
A. Modesto, humilde, recatado, comedido, sencillo, simple.
C. Se le ve muy ufano con su trabajo, se nota que se siente muy a gusto en él."
UJIER,m.,"Portero de estrados de un palacio o tribunal. / Empleado subalterno que en algunos tribunales y cuerpos del Estado tiene a su cargo la práctica de ciertas diligencias en la tramitación de los asuntos, y algunas veces cuida del orden y mantenimiento de los estrados.
S. Ordenanza, portero, celador, conserje, mayordomo, vigilante, auxiliar.
C. El ujier cerró las puertas y anunció que solo se abrirían cuando el juez dictara sentencia."
ULEMA,m.,"Doctor de la ley mahometana.
S. Erudito, docto, sabio, culto, letrado, instruido, maestro, capacitado.
A. Lego, inculto, ignorante, iletrado, indocto, inexperto.
C. Con el ulema empezó a explicar ciertos pasajes del Corán."
ULTIMAR,v.,"Dar fin a algo, acabarlo, concluirlo. / Matar.
S. Concluir, terminar, finalizar, extinguir, cesar, consumir, agotar, cerrar, clausurar, rescindir, rematar, finiquitar, liquidar, consumar, despachar, cumplir, completar, asesinar, degollar.
A. Empezar, nacer, iniciar, comenzar, arrancar, abrir, principiar, originar, inaugurar.
C. Sobrevivió a una carga de estricnina en el café que habría bastado para ultimar un caballo."
ULTIMÁTUM,m.,"En el lenguaje diplomático, resolución terminante y definitiva, comunicada por escrito. / Resolución definitiva.
S. Intimidación, ceño, amenaza, advertencia, orden, aviso, conclusión.
C. El ultimátum indicaba que debían retirarse todas las tropas invasoras de la frontera o en caso contrario las fuerzas del país iniciarían el ataque."
ULTRA,adv.,"Además de. / Dicho de un grupo político, de una ideología, o de una persona: De extrema derecha. / Dicho de una ideología: Que extrema y radicaliza sus opiniones.
S. Muy, ulterior, distante, radical, fanático, intransigente.
A. Menos, poco, cercano, moderado, medido, reglado.
C. Sus ideas dogmáticas se reflejan en su pertenencia al ser partidario ultra de la derecha."
ULTRAJAR,v.,"Ajar o injuriar. / Despreciar o tratar con desvío a alguien. / Violar, tener acceso carnal con alguien en contra de su voluntad.
S. Insultar, ofender, afrentar, agraviar, mancillar, vejar, escarnecer, deshonrar, provocar, faltar, insolentar, molestar, abochornar, manchar, maltratar, lastimar, herir, despreciar, difamar, infamar, humillar, vilipendiar, zaherir, denigrar, calumniar.
A. Loar, aplaudir, aprobar, celebrar, encarecer, exaltar, glorificar, ponderar, predicar, preconizar, pregonar, bendecir, honrar, respetar, ensalzar, enaltecer, engrandecer, alabar, elogiar, encomiar, lisonjear, adular, desagraviar.
C. Temiendo que el corpulento y voluntarioso marido la quisiera ultrajar dormida, Úrsula se ponía un pantalón reforzado con correas, que se cerraba por delante con una gruesa hebilla de hierro."
ULTRAMAR,m.,"País o sitio que está de la otra parte del mar, considerado desde el punto en que se habla. 
S. Trasatlántico, ultramarino, colonial, remoto, lejano, distante.
A. Cercano, próximo, adyacente, propincuo.
C. Las riquezas del antiguo Perú fueron llevados a reinos de ultramar como España."
ULTRANZA,Loc.,"A Muerte. / A todo trance, resueltamente.
S. Resueltamente, decididamente, enérgicamente, firmemente, decisivamente, radicalmente.
A. Moderadamente, reflexivamente, mesuradamente.
C. Es un ideólogo a ultranza del partido, así que preferirá morir antes que renunciar a sus ideales."
ULTRATUMBA,F.,"Ámbito más allá de la muerte.
S. Sobrenatural, paranormal.
C. Oyó voces de ultratumba y entre ellas reconoció a Ricardo, muerto hace más de quince años."
UMBRAL,m.,"Parte inferior o escalón, por lo común de piedra y contrapuesto al dintel, en la puerta o entrada de una casa. / Paso primero y principal o entrada de cualquier cosa. / Valor mínimo de una magnitud a partir del cual se produce un efecto determinado.
S. Limen, tranco, indicio, quicio, comienzo, origen, principio, prólogo, preludio, entrada, acceso, soportal, porche.
A. Dintel, término, fin, final, cierre.
C. Me levanto, le entrego el dinero, le agradezco y ella me acompaña hasta la puerta y la cierra apenas traspongo el umbral."
UMBRÍO,adj.,"Lugar donde da poco el sol. / Parte de terreno en que casi siempre hace sombra, por estar expuesta al norte.
S. Tenebroso, negro, lóbrego, oscuro, denso, cerrado, umbroso, sombreado, cubierto, frondoso, boscoso.
A. Soleado, luminoso, radiante, asoleado, cálido, claro, diáfano.
C. Hallaron el cadáver en un lugar umbrío lo que explicaría la ausencia de insectos que crecerían bajo condiciones solares."
UNÁNIME,adj.,"Conjunto de personas que convienen en un mismo parecer, dictamen, voluntad o sentimiento. / Se dice de este parecer, dictamen, voluntad o sentimiento.
S. Acorde, conforme, unísono, avenido, general, total, universal.
A. Desacorde, disconformidad, discordante, restringido, desacordado, contrastado, parcial.
C. La votación a favor de la nueva ley fue unánime, no hubo ni un solo voto en contra."
UNCIÓN,F.,"Acción de aplicar a una cosa aceite u otra materia pingüe, extendiéndola superficialmente. / Extremaunción. / Gracia y comunicación especial del Espíritu Santo, que excita y mueve al alma a la virtud y perfección. / Devoción, recogimiento y perfección con que el ánimo se entrega a la exposición de una idea, a la realización de una obra, etc.
S. Fervor, devoción, piedad, recogimiento, veneración, compunción.
A. Irreverencia, apostasía, sacrilegio, impiedad, ateísmo.
C. Antes de colocar la pasta en la planta de metal es recomendable una rápida unción sobre la superficie con manteca, de este modo evitaremos que la masa quede pegada."
UNGÜENTO,m.,"Todo aquello que sirve para ungir o untar. / Medicamento que se aplica al exterior, compuesto de diversas sustancias, entre las cuales figuran la cera amarilla, el aceite de olivas y el sebo de carnero. / Cosa que suaviza y ablanda el ánimo o la voluntad, trayéndola a lo que se desea conseguir. / Compuesto de simples olorosos que usaban mucho los antiguos para embalsamar cadáveres.
S. Pomada, unto, crema, afeite, linimento, mixtura, untadura, bálsamo, medicamento, potingue, remedio, emoliente, revulsivo, sanalotodo.
C. Le frotó todo el cuerpo con un ungüento especial que, según ella, le curaría todos los males."
UNICORNIO,m.,"Animal fabuloso que fingieron los antiguos poetas, de forma de caballo y con un cuerno recto en mitad de la frente. / Rinoceronte. 
S. Mmonoceronte, paquidermo.
C. Le agradaba imaginar un unicornio iridiscente con el cuerno de oro que lo llevase a cabalgar por todo el mundo."
UNIGÉNITO,adj.,"Se dice del hijo único. / El Verbo eterno, Hijo de Dios.
S. Jesucristo, mesías, salvador, Dios.
C. Jamás tuvo hermanos pues fue unigénito."
UNÍVOCO,adj.,"Lo que tiene igual naturaleza o valor que otra cosa. / Término que se predica de varios individuos con la misma significación.
S. Igual, semejante, nominal uniforme, relacionado.
A. Desigual, diverso, disímil, diferencial, heterogéneo.
C. Será lo mismo si pagas con dólares y esta nueva moderna pues su valor es unívoco."
UNTAR,v.,"Aplicar y extender superficialmente aceite u otra materia abundante sobre algo. / Corromper o sobornar a alguien con dones o dinero. / Implicar a alguien en un asunto delictivo. / Interesarse o quedarse con algo de aquello que se maneja, especialmente dinero.
S. Engrasar, ungir, bañar, aceitar, embadurnar, embarrar, cubrir, encerar, frotar, manchar, comprar, malear, envolver, complicar, involucrar, enredar, liar, enlazar.
A. Lavar, asear, limpiar, secar, pulir, rehusar, rechazar, excluir, prescindir, sacar, relegar, exceptuar, librar, salvar, asentir, facilitar.
C. Luego vino un hombre para untar todo su cuerpo con porquería de perro."
URBE,f.,"Ciudad, especialmente la muy populosa.
S. Capital, metrópoli, centro, villa, población, emporio, región.
A. Pueblo, campo, distrito, anexo, caserío.
C. Se quedó pasmado al ver las luces y enormes casas de la urbe en donde la gente iba de aquí para allá."
URDIR,v.,"Preparar los hilos en la urdidera para pasarlos al telar. / Maquinar y disponer cautelosamente algo contra alguien, o para la consecución de algún designio.
S. Tejer, trenzar, hilar, mallar, armar, preparar, organizar, tramar, intrigar, conspirar, enredar, forjar, fraguar, proyectar, planear, maniobrar, manejar, confabularse, complotar, concertarse, juramentarse, entenderse, cabildear.
A. Deshilar, destejer, destrenzar, desenredar, desenmarañar, aclarar, deshacer, desorganizar, separarse, desligarse, respetar.
C. Una forma de urdir el plan sin que nadie nos delate es reuniéndonos bajo la fachada de una inocente asociación juvenil."
URENTE,adj.,"Que escuece, ardiente, abrasador.
S. Ardiente, caliente, punzante, ardoroso, acre, irritante.
A. Gélido, frío, álgido, glacial, polar, frígido.
C. La temperatura urente del horno es suficiente para cocer un suculento pollo en pocos minutos."
URGIR,v.,"Pedir o exigir algo con urgencia o apremio. / Conducir o empujar a alguien a una rápida actuación. / Dicho de una cosa: Instar o precisar a su pronta ejecución o remedio. 
S. Apremiar, apurar, obligar, comprometer, presionar, acelerar, apresurar, apretar, estrechar, atosigar, acosar, asediar, atacar, perseguir, rondar, trabajar, entrar, incitar, avivar, estimular, pinchar, provocar, picar, agonizar, instigar, inducir, impulsar, empujar, exhortar, solicitar, insistir, invitar.
A. Aplazar, retrasar, retardar, prorrogar, prescindir, desistir, diferir, demorar, rezagar, retroceder, dejar, postergar.
C. Es una solicitud que nos ha de urgir por lo que debemos estar atentos a cualquier respuesta."
ÚRICO,adj.,"Perteneciente a la orina.
S. Pis, orín, micción, urea, evacuación, excreción.
C. Ácido úrico está presente en pequeñas cantidades en la orina humana, y en cantidades mayores en la orina de los pájaros y reptiles."
URTICARIA,f.,"Enfermedad eruptiva de la piel, cuyo síntoma más notable es una comezón parecida a la que producen las picaduras de la ortiga.
S. Irritación, inflamación, hinchazón, picazón, escozor, quemazón, erupción.
C. Se rascaba tanto a causa de la urticaria que terminó con horribles llagas por toda la piel."
USANZA,f.,"Ejercicio o práctica de algo. / Moda.
S. Costumbre, hábito, uso, rutina, maña, conducta, regla, tradición, estilo, manera, forma.
C. Se vestía a la usanza de los viejos tiempos."
USUFRUCTO,m.,"Derecho a disfrutar bienes ajenos con la obligación de conservarlos, salvo que la ley autorice otra cosa. / Utilidades, frutos o provechos que se sacan de cualquier cosa.
S. Provecho, utilidad, beneficio, ventaja, servicio, interés, lucro, rendimiento, producto, fruto, goce, uso, disfrute, utilización, aprovechamiento, posesión, tenencia, manejo, patrimonio, consumo.
A. Desuso, pérdida, desempleo, inutilidad, ineficacia, nulidad, esterilidad, cesación, caducidad, desaprovechamiento.
C. Extrajo gran usufructo luego de veinte años de aprovechar los terrenos entregados por su amigo el día que se fue."
USURA,f.,"Interés que se lleva por el dinero o el género en el contrato de mutuo o préstamo. / Este mismo contrato. / Interés excesivo en un préstamo.
S. Lucro, provecho, ventaja, ganancia, especulación, negocio, abuso, exceso, delito, rapiña.
A. Generosidad, desinterés, altruismo, magnanimidad, filantropía, largueza, esplendidez.
C. Más que interés parecía usura al cobrarle cincuenta por ciento de más por el préstamo."
USURPAR,v.,"Apoderarse de una propiedad o de un derecho que legítimamente pertenece a otro, por lo general con violencia. / Arrogarse la dignidad, empleo u oficio de otro, y usarlos como si fueran propios.
S. Despojar, quitar, birlar, arrancar, desfalcar, hurtar, escamotear, chupar.
A. Reponer, entregar, indemnizar, resarcir, restaurar.
C. La mina optó por usurpar a sangre y fuego las tierras que pertenecían a la comunidad."
UTOPÍA,f.,"Plan, proyecto, doctrina o sistema optimista que aparece como irrealizable en el momento de su formulación.
S. Quimera, ilusión, sueño, fantasía, ficción, sombra.
A. Realidad, existencia, posibilidad.
C. Algunos creyeron que sería una utopía por lo que no apostaron a que lo lograríamos, pero miren ahora, todo es una realidad."
UXORICIDIO,m.,"Muerte causada a la mujer por su marido.
S. Feminicidio, homicidio, asesinato.
C. El esposo de la fallecida fue acusado de uxoricidio debido a muchas de las pruebas lo sindicaban como el responsable de la muerte."
"VACUO,",adj.,"Vacío, falto de contenido. / Vacante, sin proveer. / Vacío, hueco o concavidad de algunas cosas.
S. Trivial, fútil, pueril, nimio, inane, frívolo, baladí, huero.
A. Esencial, enjundioso, sustancial, importante.
C. La tesis tiene un marco teórico tan vacuo que solo ocupa dos hojas."
VADEAR,v.,"Pasar un río u otra corriente de agua profunda por el fondo firme, llano y poco profundo, o por cualquier otro sitio donde se pueda hacer pie. 
S. Cruzar, atravesar, franquear, transitar, salvar, traspasar, superar, rebasar, vender, ganar, eludir, sortear.
A. Estancarse, atorarse, impedirse, achicarse, fallar.
C. No cruzó por el puente pues decidió vadear las aguas poco profundas de la corriente llevando su carga al hombro."
VADEMÉCUM,m.,"Libro de poco volumen y de fácil manejo para consulta inmediata de nociones o informaciones fundamentales. / Cartapacio en que los niños llevaban sus libros y papeles a la escuela.
S. Libro, compendio, opúsculo, memorando, breviario, diccionario.
C. Llevaba siempre un vademécum en el cual podía averiguar los significados de las palabras y hallar otras informaciones."
VAGIDO,m.,"Gemido o llanto del recién nacido.
S. Lloro, queja, quejido, lamento, ay, grito, gimoteo, lloriqueo.
A. Risa, sonrisa, risita, cosquilleo, risotada, alegría, algazara, contracción, rictus.
C. Cuando el partero le dio un pequeño golpe en las nalgas al recién nacido este soltó un largo vaguido."
"VAHAJE,",m.,"Viento suave.
S. Brisa, halo, hálito, viento, racha, soplo, céfiro.
A. Huracán, torbellino, tornado, tifón, manga, borrasca, tempestad.
C. Dudo mucho que ese vahaje sea capaz de levantar la cometa."
VAHÍDO,m.,"Desvanecimiento, turbación breve del sentido por alguna indisposición.
S. Vértigo, desmayo, vahído, desvanecimiento, mareo, síncopa .
C. Sufrió un vahído al ver el cadáver de su hijo por lo que tuvo que se auxiliada para que recobrara la conciencia."
VAHO,m.,"Vapor que despiden los cuerpos en determinadas condiciones. / Guiso de carne que se prepara al vapor con verduras y otros ingredientes.
S. Efluvio, emanación, exhalación, hálito, aliento, espiración, niebla, neblina, bocanada, fumarada, rocío, guisado, estofado, cocido, potaje, picadillo, plato, vianda, manjar, comida, pegote, guisote.
C. Sentimos el olor de un vaho perturbador y caliginoso que se desprendía del cuerpo del enfermo."
VAIVÉN,m.,"Movimiento alternativo de un cuerpo que después de recorrer una línea vuelve a describirla, caminando en sentido contrario. / Variedad inestable o inconstancia de las cosas en su duración o logro. / Encuentro o riesgo que expone a perder lo que se intenta, o malograr lo que se desea.
S. Oscilación, temblor, vibración, onda, traqueteo, zarandeo, titilación, bamboleo, tumbo, vacilación, cabeceo, fluctuación, alternativa, balanceo, zigzag, contoneo, capricho, mudanza desigualdad.
A. Estabilidad, inmovilidad, fijeza, permanencia, seguridad, firmeza, solidez, duración, persistencia.
C. Era como si Dios mantuviera a los habitantes en un permanente vaivén entre el alborozo y el desencanto, la duda y la revelación."
VALETUDINARIO,adj.,"Enfermizo, delicado, de salud quebrada. Alude al que sufre los achaques de la edad.
S. Achacoso, decadente, enfermo, enfermizo, canijo, blandengue, decrépito, derruido.
A. Sano, saludable, vigoroso, lozano.
C. Con noventa años su valetudinaria condición ya no está para desbandes de ese tipo."
VALÍA,f.,"Valor, aprecio de algo. / Calidad de una persona que vale. / Valimiento, privanza. / Facción, parcialidad. 
S. Mérito, estimación, apreciación, tasación, valer, crédito, fama, honra, respeto, consideración, atención, influencia, favor, privanza, protección, valor, precio, coste, monta, caudal, importancia.
A. Perjuicio, menoscabo, quebranto, desventaja, defecto, desestimación.
C. Tenía que mostrar su valía venciendo a los monstruos que atormentaba a su pueblo, solo así sería digno del trono."
VALLA,f.,"Cercado o estacada para defensa. / Línea o término formado de estacas hincadas en el suelo o de tablas unidas, para cerrar algún sitio o señalarlo. / Cartelera situada en calles, carreteras, etc., con fines publicitarios. / Obstáculo o impedimento material o moral. / Obstáculo en forma de valla que debe ser saltado por los participantes en ciertas competiciones hípicas o atléticas.
S. Barrer, cerco, empalizada, tapia, seto, cerca, encierro, alambrada, palenque, verja, tela, cierre, arrimo, enrejado, horma, mampuesto, barandilla, balaustrada, talanquera, cinturón, palizada, atajadizo, espino, estorbo, inconveniente, traba, escollo, atasco, atolladero, veto, contorno.
A. Facilidad, posibilidad, solución.
H. baya (tipo de fruto carnoso con semillas rodeadas de pulpa; por ejemplo, el tomate y la uva)
vaya1 (burla o mofa que se hace de uno o chasco que se le da)
Vaya2 (interjección para comentar algo que satisface o que, por el contrario, decepciona o disgusta)
C. Los ladrones atravesaron de un salto la valla para ingresar al patio interior de la casona."
VALQUIRIA,f.,". Cada una de ciertas divinidades de la mitología escandinava que en los combates designaban los héroes que habían de morir, y en el cielo servían las bebidas.
S. Deidad, amazona, diosa, espíritu.
C. Fue la mismísima valquiria Brunilda quien condujo el alma de nuestro héroe a disfrutar de la gran sala de Odín, el Vahala."
VAMPIRESA,f.,"Mujer que aprovecha su capacidad de seducción amorosa para lucrarse a costa de aquellos a quienes seduce. 
S. Hechicera, seductora, liviana, pérfida, cautivadora, sexy.
A. honesta, honrada, intachable.
C. La vampiresa Catalina acopió una inmensa fortuna a costa de millonarios que se prendaron de su belleza."
VANAGLORIA,f.,"Jactancia del propio valer u obrar.
S. Presunción, vanidad, pedantería, petulancia, afectación, inmodestia, engreimiento, suficiencia, ventolera, orgullo, soberbia, altanería, arrogancia, vanagloria, ostentación, alarde, boato, postín, farol, pisto, barrumbada, bravata, baladronada, guapeza, fanfarria, farfolla.
A. Modestia, encogimiento, recato, sencillez, recato, reserva, moderación, comedimiento, templanza, sobriedad, austeridad, humildad.
C. Se vanagloria demasiado de sus cinco títulos mundiales."
"VÁNDALO,",adj.,"Se dice del individuo perteneciente a un pueblo bárbaro de origen germánico oriental procedente de Escandinavia. / Hombre que comete acciones propias de gente salvaje y desalmada.
S. Germánico, vandálico, devastador, exterminador, demoledor, destructor, cruel, inhumano, desalmado, bruto, forajido, pirata, cuatrero.
A. Civilizado, humano, piadoso, bondadoso, bueno.
C. El vándalo y su runfla de pillastres ocasionaron un gran desastre destrozando todas las tiendas de alimentos en el mercado."
VANGUARDIA,f.,"Parte de una fuerza armada, que va delante del cuerpo principal. / Avanzada de un grupo o movimiento ideológico, político, literario, artístico, etc.
S. Avanzada, delantera, destacamento.
A. Retaguardia, último, final, posterior.
C. Era muy probable que muriera en batalla pues estaba a la vanguardia de su batallón."
VANO,adj.,"Falto de realidad, sustancia o entidad. / Hueco, vacío y falto de solidez. / Inútil, infructuoso o sin efecto. / Arrogante, presuntuoso, envanecido. / Insubsistente, poco durable o estable. / Que no tiene fundamento, razón o prueba.
S. Afectado, presumido, engreído, presumido, orgulloso, caprichoso, infundado, alabancioso, creído, fanfarrón, altivo, altanero.
A. Sencillo, humilde, campechano, franco, sincero, espontáneo.
C. Si pierdo, juro, y no en vano, que no volveré a tocar, pues me cortaré la mano.
(2) Cuero sin agujeros, fijo en un aro de madera, que se usa para zarandar granos."
VAPULEAR,v.,"Zarandear de un lado a otro a una persona o cosa. / Golpear o dar repetidamente contra una persona o cosa. / Reprender, criticar o hacer reproches duramente a una persona.
S. Catigar, sacudir, maltratar, zaherir, pegar.
A. Acariciar, mimar, engreír, alagar, arrullar.
C. El ingeniero no se cansaba de vapulear a sus obreros hasta el punto en que estos terminaron golpeándolo y echándolo de la mina."
VAREAR,v.,"Derribar con los golpes y movimientos de la vara los frutos de algunos árboles. / Dar golpes con vara o palo. / Medir con la vara. / Ejercitar un caballo de competición para conservar su buen estado físico. / Llevar a los niños de paseo para que gasten energía y se tranquilicen. / Pasear con alguien para lucimiento propio. / Ponerse flaco.
S. Aventar, apalear, sacudir, agitar, zarandear, aporrear, cachetear, enflaquecer, adelgazar, escurrirse.
A. Acariciar, mimar, besar, abrazar, sobar, engrosar, ensanchar, engordar.
C. Toma ese palo y comencemos a varear entre las ramas para que caigan las peras más maduras."
VARIO,adj.,"Diverso o diferente. / Inconstante. / Indeterminado. / Que tiene variedad o está compuesto de diversos adornos o colores. / Algunos, unos cuantos. / Conjunto de libros, folletos, etc., de diferentes autores, materias o tamaños, reunidos en tomos, legajos o cajas.
S. Heterogéneo, desigual, disímil, disparejo, otro.
A. Igual, homogéneo, similar, uniforme, análogo, semejante, afín.
C. Aunque el conjunto de juguetes es vario no encuentro algo que me guste."
VARIOPINTO,adj.,"Que ofrece diversidad de colores o de aspecto. / Multiforme, mezclado, diverso, abigarrado. 
S. Híbrido, heterogéneo, múltiple, desigual, plural, mezclado, disímil.
A. Homogéneo, igual, único, regular, constante.
C. Es un cuadro variopinto donde el pintor ha mezclado con maestría los elementos modernos con los del pasado y en donde, obviamente, no hay mezquindad en el uso de los colores."
VÁSTAGO,m.,"Renuevo o ramo tierno que brota del árbol o planta. / Persona descendiente de otra.
S. Retoño, rebrote, brote, cogollo, serpollo, estolón, talluelo.
C. Pensaba que su vástago seguiría sus pasos como notario de Jauja."
VASTO,adj.,"Dilatado, muy extendido o muy grande.
S. Extenso, dilatado, grande, inmenso, enrome, extensivo, lato, prolijo.
A. Escueto, lacónico, sucinto, conciso, breve, parco.
H. Basto1 (género de aparejo que llevan las caballerías de carga / as en el palo de naipes / cualquiera de los naipes del palo de bastos)
basto2 (grosero, tosco, sin pulimento / persona rústica, tosca o grosera)
C. Al sur estaban los pantanos, cubiertos de una eterna nata vegetal, y el vasto universo de la ciénaga grande, que según testimonio de los gitanos carecía de límites."
VATE,m.,"Adivino. / Poeta.
S. Trovador, rapsoda, cantor, juglar, bardo, cantor.
H. Bate (palo, con el que se golpea la pelota en el béisbol y en otros juegos)
C. El vate compuso hermosas odas dedicadas al mar y a las montañas."
VATICINIO,m.,"Predicción, adivinación, pronóstico.
S. Augurio, predicción, profecía, adivinación, oráculo.
A. Equivocación, desacierto.
C. La sibila dio el vaticinio de que el conquistador perdería la batalla de mañana."
VAYA,f.,"Burla o mofa que se hace de uno o chasco que se le da.
S. Guasa, zumba, candonga, broma, chacota, ironía, coba.
A. Alabanza, elogio, cumplido, halago, agasajo.
H. Baya (tipo de fruto)
valla (vallado o estacada para defensa. / línea o término formado de estacas hincadas en el suelo o de tablas unidas, para cerrar algún sitio o señalarlo. / cartelera situada en calles, carreteras, etc., con fines publicitarios. / obstáculo o impedimento material o moral)
C. Fue víctima de una vaya de sus amigos en el día de los santos inocentes.
(2) Verbo / Interjección con la cual se comenta algo que satisface o que, por el contrario, decepciona o disgusta."
VEDA,f.,"Acción y efecto de prohibir por ley, estatuto o mandato. / Espacio de tiempo en que está vedado cazar o pescar.
S. Prohibición, proscripción, tabú, interdicción, inhibición, negativa .
A. Permisión, permiso, autorización, beneplácito, venia.
C. Primero prohibieron a los mototaxis ahora hay una nueva veda: ningún vehículo de transporte público podrá pasar por la plaza.
(2) Cada uno de los libros sagrados que constituyen el fundamento de la tradición religiosa de la India."
VEHEMENTE,adj.,". Que tiene una fuerza impetuosa. / Ardiente y lleno de pasión. / Persona que obra de forma irreflexiva, dejándose llevar por los impulsos.
S. Apasionado, ardiente, fogoso, impetuoso, ardoroso, efusivo, exaltado.
A. Frío, apático, indiferente, insensible, impasible, impávido.
C. La tiró a la cama como un enamorado vehemente para luego arrancarle las ropas y mirar cautivado su desnudez."
